country,qid,year,month,views,total_views,views_norm
Germany,Q243257,2021,8,1591,1046535795,1.5202537816683088
Germany,Q243257,2021,9,1305,996134749,1.3100637251235978
Germany,Q243257,2021,10,1179,1068121026,1.1038075005556534
Germany,Q243257,2021,11,1434,1050913768,1.3645267991198302
Germany,Q243257,2021,12,1342,1113037393,1.2057097168881907
Germany,Q243257,2022,1,1331,1249910936,1.064875873683851
Germany,Q243257,2022,2,1070,1103146777,0.9699525233712396
Germany,Q243257,2022,3,1165,1124066971,1.0364151158747996
Germany,Q243257,2022,4,19039,1031848397,18.45135395408285
Germany,Q243257,2022,5,1547,1027137223,1.506127872069144
Germany,Q243257,2022,6,1697,991623233,1.7113354583938032
Germany,Q243257,2022,7,2576,999957014,2.5761107366961276
Germany,Q243257,2022,8,2546,1039286534,2.449757517978194
Germany,Q243257,2022,9,1641,1047252504,1.566957341932505
Germany,Q243257,2022,10,1529,1112474516,1.374413506115766
Germany,Q243257,2022,11,2609,1076312574,2.4240170216575025
Germany,Q243257,2022,12,1393,1076134373,1.2944480122093451
Germany,Q243257,2023,1,1756,1172752345,1.4973323289325848
Germany,Q243257,2023,2,2144,1008121796,2.1267271558921834
Germany,Q243257,2023,3,2765,1130556117,2.4456990311432723
Germany,Q243257,2023,4,2491,1058416300,2.3535162865500086
Germany,Q243257,2023,5,2379,1065602480,2.2325398491940445
Germany,Q243257,2023,6,4814,1019080224,4.723867549018398
Germany,Q243257,2023,7,2907,1096200614,2.6518868561772213
Germany,Q243257,2023,8,2636,1072558100,2.4576757193852714
Germany,Q243257,2023,9,3120,992596368,3.1432716263978913
Germany,Q243257,2023,10,2133,1104086001,1.931914722284392
Germany,Q243257,2023,11,2532,1078845169,2.3469540141213723
Germany,Q243257,2023,12,1518,1155406164,1.313823698797577
Germany,Q243257,2024,1,1922,1335740029,1.4389027492414843
Germany,Q243257,2024,2,1853,1116155910,1.660162333414514
Germany,Q243257,2024,3,2003,1142964188,1.752460856630094
Germany,Q243257,2024,4,2122,1077280119,1.9697755138837758
Germany,Q243257,2024,5,1851,1083180889,1.708855851130143
Germany,Q243257,2024,6,2242,1055978549,2.1231491890845215
Germany,Q243257,2024,7,2932,1063682946,2.7564604763344587
Germany,Q243257,2024,8,3005,1068072391,2.8134797091670163
Germany,Q243257,2024,9,2111,1019541571,2.070538426333574
Germany,Q243257,2024,10,2001,1066646637,1.8759727266641164
Germany,Q243257,2024,11,1615,1015043685,1.5910645264494208
