subtype,n_components,min_cluster_size,n_neighbors,n_topics,noise_pct,largest_topic_pct,good,okay
Dengue,15,20,20,43,27.208023293432547,8.282109349725008,False,False
Dengue,15,30,10,25,30.66968618570042,11.582012293756065,False,False
Dengue,15,30,15,26,30.37851827887415,11.452604335166614,False,False
Dengue,15,30,20,23,19.896473633128437,15.884826916855387,False,False
Dengue,15,50,10,18,32.8049175024264,13.749595600129409,False,False
Dengue,15,50,15,14,25.946295697185377,13.781947589776772,False,False
Dengue,15,50,20,12,19.475897767712713,15.884826916855387,True,True
Usutu,5,10,10,17,4.1116005873715125,21.73274596182085,True,True
Usutu,5,10,15,20,10.13215859030837,21.58590308370044,True,True
Usutu,5,10,20,21,8.516886930983848,21.43906020558003,False,False
Usutu,5,20,10,12,5.4331864904552125,21.73274596182085,True,True
Usutu,5,20,15,11,4.405286343612334,21.58590308370044,True,True
Usutu,5,20,20,10,2.790014684287812,22.026431718061673,True,True
Usutu,5,30,10,7,17.32745961820852,21.73274596182085,True,True
Usutu,5,30,15,6,18.649045521292216,21.73274596182085,True,True
Usutu,5,30,20,6,14.09691629955947,24.669603524229075,True,True
Usutu,5,50,10,4,17.32745961820852,28.928046989720997,False,False
Usutu,5,50,15,4,25.110132158590307,21.73274596182085,False,False
Usutu,5,50,20,4,13.509544787077827,29.07488986784141,False,False
Usutu,10,10,10,19,7.782672540381792,21.58590308370044,True,True
Usutu,10,10,15,22,11.013215859030836,21.879588839941263,False,False
Usutu,10,10,20,20,7.782672540381792,21.58590308370044,True,True
Usutu,10,20,10,12,7.342143906020558,21.58590308370044,True,True
Usutu,10,20,15,11,3.0837004405286343,21.879588839941263,True,True
Usutu,10,20,20,9,3.3773861967694567,28.928046989720997,True,True
Usutu,10,30,10,7,17.180616740088105,21.73274596182085,True,True
Usutu,10,30,15,7,13.362701908957415,21.58590308370044,True,True
Usutu,10,30,20,4,17.32745961820852,28.19383259911894,False,False
Usutu,10,50,10,4,21.43906020558003,22.90748898678414,False,False
Usutu,10,50,15,4,19.23641703377386,28.046989720998532,False,False
Usutu,10,50,20,4,13.509544787077827,29.07488986784141,False,False
Usutu,15,10,10,17,4.845814977973569,21.58590308370044,True,True
Usutu,15,10,15,18,5.4331864904552125,21.58590308370044,True,True
Usutu,15,10,20,18,5.726872246696035,21.58590308370044,True,True
Usutu,15,20,10,12,7.195301027900147,21.58590308370044,True,True
Usutu,15,20,15,10,2.0558002936857562,21.58590308370044,True,True
Usutu,15,20,20,10,4.1116005873715125,21.58590308370044,True,True
Usutu,15,30,10,6,14.390602055800294,21.58590308370044,True,True
Usutu,15,30,15,7,17.76798825256975,21.58590308370044,True,True
